run_id,algorithm_group_id,point_id,hardware_id,repetition,n_scan_points,detector_shape,diffraction_storage_dtype,object_shape,probe_shape,num_epochs,batch_size,dm_chunk_length,batching_mode,optimized_parameter_groups,forward_propagation_configuration,forward_model_memory_options,optional_feature_schedule,compute_precision,data_residency
run-00001,pie,p001,jlse-gh200-single-accelerator,1,64,"[64, 64]",float32,"[1, 128, 128]","[1, 1, 64, 64]",2,1,1,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00002,pie,p001,jlse-gh200-single-accelerator,2,64,"[64, 64]",float32,"[1, 128, 128]","[1, 1, 64, 64]",2,1,1,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00003,pie,p001,jlse-gh200-single-accelerator,3,64,"[64, 64]",float32,"[1, 128, 128]","[1, 1, 64, 64]",2,1,1,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00004,pie,p002,jlse-gh200-single-accelerator,1,256,"[128, 128]",float32,"[1, 384, 384]","[1, 1, 128, 128]",5,8,8,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00005,pie,p002,jlse-gh200-single-accelerator,2,256,"[128, 128]",float32,"[1, 384, 384]","[1, 1, 128, 128]",5,8,8,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00006,pie,p002,jlse-gh200-single-accelerator,3,256,"[128, 128]",float32,"[1, 384, 384]","[1, 1, 128, 128]",5,8,8,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00007,pie,p003,jlse-gh200-single-accelerator,1,1024,"[256, 256]",float32,"[1, 768, 768]","[1, 1, 256, 256]",10,32,32,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00008,pie,p003,jlse-gh200-single-accelerator,2,1024,"[256, 256]",float32,"[1, 768, 768]","[1, 1, 256, 256]",10,32,32,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00009,pie,p003,jlse-gh200-single-accelerator,3,1024,"[256, 256]",float32,"[1, 768, 768]","[1, 1, 256, 256]",10,32,32,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00010,pie,p004,jlse-gh200-single-accelerator,1,1024,"[256, 256]",float32,"[1, 768, 768]","[1, 1, 256, 256]",10,32,8,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",True
run-00011,pie,p004,jlse-gh200-single-accelerator,2,1024,"[256, 256]",float32,"[1, 768, 768]","[1, 1, 256, 256]",10,32,8,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",True
run-00012,pie,p004,jlse-gh200-single-accelerator,3,1024,"[256, 256]",float32,"[1, 768, 768]","[1, 1, 256, 256]",10,32,8,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",True
run-00013,epie,p001,jlse-gh200-single-accelerator,1,64,"[64, 64]",float32,"[1, 128, 128]","[1, 1, 64, 64]",2,1,1,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
run-00014,epie,p001,jlse-gh200-single-accelerator,2,64,"[64, 64]",float32,"[1, 128, 128]","[1, 1, 64, 64]",2,1,1,RANDOM,"{'object': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe': {'optimizable': True, 'start': 0, 'stop': None, 'stride': 1}, 'probe_positions': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'opr_mode_weights': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}, 'slice_spacings': {'optimizable': False, 'start': 0, 'stop': None, 'stride': 1}}","{'free_space_propagation_distance_m': 'infinity', 'wavelength_m': 1e-09, 'slice_spacings_m': None}","{'low_memory_mode': False, 'pad_for_shift': 4, 'diffraction_pattern_blur_sigma': None}",{'enabled_features': []},"{'default_dtype': 'FLOAT32', 'use_double_precision_for_fft': False}",False
