run_id,point_id,hardware_id,repetition,image_count,resolution,requested_batch_size,iterations
run-00001,p01_b_invariance_1,a100-primary,1,256,64,1,10
run-00002,p01_b_invariance_1,a100-primary,2,256,64,1,10
run-00003,p01_b_invariance_1,a100-primary,3,256,64,1,10
run-00004,p02_b_invariance_32,a100-primary,1,256,64,32,10
run-00005,p02_b_invariance_32,a100-primary,2,256,64,32,10
run-00006,p02_b_invariance_32,a100-primary,3,256,64,32,10
run-00007,p03_b_invariance_1000,a100-primary,1,256,64,1000,10
run-00008,p03_b_invariance_1000,a100-primary,2,256,64,1000,10
run-00009,p03_b_invariance_1000,a100-primary,3,256,64,1000,10
run-00010,p04_low_boundary,a100-primary,1,64,32,1000,1
run-00011,p04_low_boundary,a100-primary,2,64,32,1000,1
run-00012,p04_low_boundary,a100-primary,3,64,32,1000,1
run-00013,p05_high_r_i_low_n,a100-primary,1,1024,32,1000,100
run-00014,p05_high_r_i_low_n,a100-primary,2,1024,32,1000,100
run-00015,p05_high_r_i_low_n,a100-primary,3,1024,32,1000,100
run-00016,p06_low_r_high_n_i,a100-primary,1,64,256,1000,100
run-00017,p06_low_r_high_n_i,a100-primary,2,64,256,1000,100
run-00018,p06_low_r_high_n_i,a100-primary,3,64,256,1000,100
run-00019,p07_high_r_n_low_i,a100-primary,1,1024,256,1000,1
run-00020,p07_high_r_n_low_i,a100-primary,2,1024,256,1000,1
run-00021,p07_high_r_n_low_i,a100-primary,3,1024,256,1000,1
run-00022,p08_low_r_mid_n_i,a100-primary,1,64,128,1000,10
run-00023,p08_low_r_mid_n_i,a100-primary,2,64,128,1000,10
run-00024,p08_low_r_mid_n_i,a100-primary,3,64,128,1000,10
run-00025,p09_high_r_mid_n_i,a100-primary,1,1024,128,1000,10
run-00026,p09_high_r_mid_n_i,a100-primary,2,1024,128,1000,10
run-00027,p09_high_r_mid_n_i,a100-primary,3,1024,128,1000,10
run-00028,p10_mid_r_low_n_i,a100-primary,1,256,32,1000,10
run-00029,p10_mid_r_low_n_i,a100-primary,2,256,32,1000,10
run-00030,p10_mid_r_low_n_i,a100-primary,3,256,32,1000,10
run-00031,p11_mid_r_high_n_i,a100-primary,1,256,256,1000,10
run-00032,p11_mid_r_high_n_i,a100-primary,2,256,256,1000,10
run-00033,p11_mid_r_high_n_i,a100-primary,3,256,256,1000,10
run-00034,p12_mid_r_n_high_i,a100-primary,1,256,128,1000,100
run-00035,p12_mid_r_n_high_i,a100-primary,2,256,128,1000,100
run-00036,p12_mid_r_n_high_i,a100-primary,3,256,128,1000,100
